model,tool_condition,item_id,repeat,bucket,comparability_flag,evidence_grounding,tool_use_correctness,failure_category,evidence_quote,confidence,review_reason,grader,approved
claude,no_tool,TECH-GUIDE-02,,tech_guidance_verification,correct,cites_relevant_note,n/a,,"Compares against the top of the range ($16M above) and +0.5pp margin; beat on both. Quote: ""actual revenue exceeded the top end of guidance by $16 million (~0.4%)""",high,,,
claude,tool,TECH-GUIDE-02,,tech_guidance_verification,correct,cites_relevant_note,effective,,"Compares $3,671M to the $3,655M high end and 32% vs 31.5%; beat on both. Quote: ""Actual $3,671M exceeded the high end of guidance ($3,655M) by $16M""",high,,,
gpt,no_tool,TECH-GUIDE-02,,tech_guidance_verification,correct,cites_relevant_note,n/a,,"Explicitly compares against the high end of the range and 32% vs 31.5%; beat on both. Quote: ""$3,671 million is above the top end of the guided range ($3,655 million)""",high,,,
gpt,tool,TECH-GUIDE-02,,tech_guidance_verification,correct,cites_relevant_note,effective,,"Compares actual to the high end of the range and margin to 31.5%; beat on both. Quote: ""$3,671M actual is above the high end of the $3,655M guidance range""",high,,,
opus,no_tool,TECH-GUIDE-02,,tech_guidance_verification,correct,cites_relevant_note,n/a,,"Beat on both with $16M above high end (~0.4%) and ~50 bps margin beat. Quote: ""$16 million above the high end of the range (≈ +0.4%)""",high,,,
opus,tool,TECH-GUIDE-02,,tech_guidance_verification,correct,cites_relevant_note,effective,,"Beat on both, above the entire guided range (+$16M vs top) and ~+50 bps, with rounding caveat. Quote: ""Above the entire guided range, so a clear beat.""",high,,,
claude,tool,AIR-BREAK-02,2,airline_comparability_break,correct,cites_relevant_note,effective,,"[reviewed by Claude, not a human; confirm] Alaska adjusted ex-$869M Hawaiian; both rankings match key with United on top, answers yes. Quote: ""United ranks #1 in both the one-year (2023–2024) and two-year (2022–2024) organic revenue growth comparisons""",high,random spot-check,judge:google/gemini-3.8-flash; reviewed:claude,yes
claude,tool,AIR-CTRL-02,3,airline_control,correct,cites_relevant_note,effective,,"[reviewed by Claude, not a human; confirm] All ten margins and both rankings match key; Delta tops both, answers yes. Quote: ""Delta Air Lines ranks #1 in both operating margin (9.73%) and net margin (5.61%) for FY2024, so yes""",high,random spot-check,judge:google/gemini-3.8-flash; reviewed:claude,yes
gpt,tool,AIR-TRADE-01,2,airline_tradeoff,correct,cites_relevant_note,effective,,"[reviewed by Claude, not a human; confirm] Names Southwest on balance sheet and acknowledges American's operating-income lead in dollars only, which matches the repeat-1 convention for correct. Quote: ""Although American is larger by revenue and operating income, its capital structure is significantly more leveraged""",high,random spot-check,judge:google/gemini-3.8-flash; reviewed:claude,yes
gpt,tool,AIR-XENT-02,3,airline_cross_entity,correct,cites_relevant_note,effective,,"[reviewed by Claude, not a human; confirm] Both rankings match key and answers no. Quote: ""No, the top-ranked airline is not the same in both rankings.""",high,random spot-check,judge:google/gemini-3.8-flash; reviewed:claude,yes
gpt,tool,MULTI-BREAK-01,2,multi_sector_comparability_break,correct,cites_relevant_note,effective,,"[reviewed by Claude, not a human; confirm] Links Kyndryl discontinued-ops note to restated FY2020 $55,179M and gets +9.7%. Quote: ""an increase of $5,351 million, or approximately 9.7%, on a comparable basis""",high,random spot-check,judge:google/gemini-3.8-flash; reviewed:claude,yes
gpt,tool,MULTI-BREAK-04,3,multi_sector_comparability_break,correct,cites_relevant_note,effective,,"[reviewed by Claude, not a human; confirm] Growth rates match key (6.07% vs 6.02%) and the answer flags the Jan-31 vs May-31 fiscal-year mismatch on its own. Quote: ""Walmart and Oracle use different fiscal year-ends (January 31 vs. May 31), so their fiscal 2024 periods are not perfectly aligned in calendar time.""",high,random spot-check,judge:google/gemini-3.8-flash; reviewed:claude,yes
opus,no_tool,AIR-BREAK-01,2,airline_comparability_break,correct,cites_relevant_note,n/a,,"[reviewed by Claude, not a human; confirm] Names United as organic leader on 1- and 2-year growth and explains that Alaska's lead comes from the acquisition. Quote: ""Alaska's headline +12.6% is not comparable because it includes $869M from the Hawaiian acquisition""",high,random spot-check,judge:google/gemini-3.8-flash; reviewed:claude,yes
opus,no_tool,TECH-GAAP-04,2,tech_gaap_adjustment,correct,cites_relevant_note,n/a,,"[reviewed by Claude, not a human; confirm] Line-item sums verified ($2,103M / $2,325M / $812.4M); Datadog normalized from thousands; ServiceNow named. Quote: ""ServiceNow, Inc. — approximately $2,325 million in total non-GAAP adjustments""",high,random spot-check,judge:google/gemini-3.8-flash; reviewed:claude,yes
opus,no_tool,TECH-GUIDE-01,3,tech_guidance_verification,correct,cites_relevant_note,n/a,,"[reviewed by Claude, not a human; confirm] Both deltas correct (+$19M/+0.8%, +130bps); beat on both. Quote: ""Workday beat its guidance on both metrics""",high,random spot-check,judge:google/gemini-3.8-flash; reviewed:claude,yes
opus,tool,AIR-CTRL-04,3,airline_control,correct,cites_relevant_note,effective,,"[reviewed by Claude, not a human; confirm] Both rankings match key; Delta lowest on both, answers yes. Quote: ""Yes — Delta ranks lowest (best) on both metrics.""",high,random spot-check,judge:google/gemini-3.8-flash; reviewed:claude,yes
claude,tool,AIR-XENT-01,2,airline_cross_entity,correct,cites_relevant_note,effective,,"[reviewed by Claude, not a human; confirm] Names Delta but explicitly acknowledges Alaska as fastest revenue grower, matching the repeat-1 correct standard. Quote: ""though United posted faster profit growth and Alaska the fastest revenue growth on a smaller base""",low,low confidence,judge:google/gemini-3.8-flash; reviewed:claude,yes
claude,tool,AIR-XENT-02,2,airline_cross_entity,correct,cites_relevant_note,effective,,"[reviewed by Claude, not a human; confirm] Both rankings match key and answers no. Quote: ""the top-ranked airline differs between the two rankings""",low,low confidence,judge:google/gemini-3.8-flash; reviewed:claude,yes
claude,tool,AIR-XENT-02,3,airline_cross_entity,correct,cites_relevant_note,effective,,"[reviewed by Claude, not a human; confirm] Both rankings match key; answers no (the organic-growth aside does not change the answer). Quote: ""United would lead growth (+6.23%) while Delta still leads margin, so the top-ranked airline differs between the two rankings""",low,low confidence,judge:google/gemini-3.8-flash; reviewed:claude,yes
gpt,no_tool,AIR-CTRL-01,2,airline_control,correct,cites_relevant_note,n/a,,"[reviewed by Claude, not a human; confirm] Commits to Delta with correct net income for all five; net income alone was accepted in repeat-1 precedent. Quote: ""Delta’s $3,457M** is the highest among the five airlines.""",low,low confidence,judge:google/gemini-3.8-flash; reviewed:claude,yes
gpt,no_tool,AIR-CTRL-03,2,airline_control,correct,cites_relevant_note,n/a,,"[reviewed by Claude, not a human; confirm] Commits to Delta using revenue-normalized operating margin with correct figures for all five. Quote: ""**Delta has the highest operating margin**, indicating the most efficient cost structure in FY2024.""",low,low confidence,judge:google/gemini-3.8-flash; reviewed:claude,yes
gpt,no_tool,AIR-CTRL-03,3,airline_control,correct,cites_relevant_note,n/a,,"[reviewed by Claude, not a human; confirm] Commits to Delta using operating margin with correct figures for all five; Alaska caveat does not hedge the answer. Quote: ""**Delta Air Lines** has the highest operating margin and therefore the most efficient cost structure""",low,low confidence,judge:google/gemini-3.8-flash; reviewed:claude,yes
gpt,tool,AIR-CTRL-02,3,airline_control,correct,cites_relevant_note,effective,,"[reviewed by Claude, not a human; confirm] All ten margins and both rankings match key; Delta tops both. Quote: ""The top-ranked airline is the same in both rankings: Delta.""",low,low confidence,judge:google/gemini-3.8-flash; reviewed:claude,yes
gpt,tool,AIR-TRADE-02,2,airline_tradeoff,correct,cites_relevant_note,effective,,"[reviewed by Claude, not a human; confirm] (a) American, (b) Southwest, answers no, with correct figures. Quote: ""so the same airline does not lead on both measures""",low,low confidence,judge:google/gemini-3.8-flash; reviewed:claude,yes
gpt,tool,MULTI-BREAK-03,2,multi_sector_comparability_break,correct,cites_relevant_note,effective,,"[reviewed by Claude, not a human; confirm] Uses restated FY2023 $24,610M tied to the Solventum discontinued-ops note; -0.14%. Quote: ""Approximately –0.14% year-over-year revenue growth (a $35 million decrease)""",low,low confidence,judge:google/gemini-3.8-flash; reviewed:claude,yes
gpt,tool,TECH-CMP-02,3,tech_clean_comparison,correct,cites_relevant_note,effective,,"[reviewed by Claude, not a human; confirm] 11.83% -> 10.99% computed correctly; decelerated. Quote: ""revenue growth **decelerated** year over year""",low,low confidence,judge:google/gemini-3.8-flash; reviewed:claude,yes
opus,no_tool,AIR-CTRL-03,2,airline_control,correct,cites_relevant_note,n/a,,"[reviewed by Claude, not a human; confirm] Revenue-normalized fuel, labor and margin all correct; commits to Delta. Quote: ""**Delta** leads on every available measure""",low,low confidence,judge:google/gemini-3.8-flash; reviewed:claude,yes
opus,no_tool,AIR-CTRL-04,3,airline_control,correct,cites_relevant_note,n/a,,"[reviewed by Claude, not a human; confirm] Both rankings match key (American 21.06% ahead of Southwest 21.15% on fuel); answers yes. Quote: ""Yes — Delta is top-ranked (lowest) in both""",low,low confidence,judge:google/gemini-3.8-flash; reviewed:claude,yes
opus,no_tool,AIR-TRADE-01,2,airline_tradeoff,correct,cites_relevant_note,n/a,,"[reviewed by Claude, not a human; confirm] Names Southwest on balance sheet while explicitly crediting American's operating lead. Quote: ""On **operating performance**, American was stronger in FY2024 (higher operating income and operating margin).""",low,low confidence,judge:google/gemini-3.8-flash; reviewed:claude,yes
opus,no_tool,AIR-XENT-02,3,airline_cross_entity,correct,cites_relevant_note,n/a,,"[reviewed by Claude, not a human; confirm] Both rankings match key; answers no. Quote: ""**Is the top-ranked airline the same?** No.""",low,low confidence,judge:google/gemini-3.8-flash; reviewed:claude,yes
opus,no_tool,MULTI-BREAK-02,2,multi_sector_comparability_break,correct,cites_relevant_note,n/a,,"[reviewed by Claude, not a human; confirm] Picks the fully restated $29,139M over the $58,100M distractor and cites both spin-offs; +32.8%. Quote: ""Approximately +32.8% (from $29,139M in FY2022, as recast for discontinued operations, to $38,702M in FY2024)""",low,low confidence,judge:google/gemini-3.8-flash; reviewed:claude,yes
opus,no_tool,MULTI-BREAK-03,2,multi_sector_comparability_break,correct,cites_relevant_note,n/a,,"[reviewed by Claude, not a human; confirm] Recast FY2023 basis tied to Solventum note; -0.14%. Quote: ""Change: ($24,575 − $24,610) / $24,610 = **−0.14%**, essentially flat""",low,low confidence,judge:google/gemini-3.8-flash; reviewed:claude,yes
opus,tool,AIR-BREAK-01,3,airline_comparability_break,correct,cites_relevant_note,effective,,"[reviewed by Claude, not a human; confirm] Adjusts Alaska to ~4.2% organic and names United on 1-yr and 2-yr basis. Quote: ""United is the strongest on a comparable, organic basis""",low,low confidence,judge:google/gemini-3.8-flash; reviewed:claude,yes
opus,tool,AIR-CTRL-01,3,airline_control,correct,cites_relevant_note,effective,,"[reviewed by Claude, not a human; confirm] Commits to Delta on every profitability measure with correct figures. Quote: ""**Delta was the most profitable on every measure**""",low,low confidence,judge:google/gemini-3.8-flash; reviewed:claude,yes
opus,tool,AIR-TRADE-01,3,airline_tradeoff,correct,cites_relevant_note,effective,,"[reviewed by Claude, not a human; confirm] Surfaces the trade-off directly: American leads on operating profit, Southwest on financial position. Quote: ""**American is the stronger operator** (materially better operating income and margin), but **Southwest is in the stronger financial position**""",low,low confidence,judge:google/gemini-3.8-flash; reviewed:claude,yes
opus,tool,AIR-XENT-01,2,airline_cross_entity,correct,cites_relevant_note,effective,,"[reviewed by Claude, not a human; confirm] Names Delta and splits growth leadership only through the Alaska acquisition caveat, with United as the improvement leader; same framing as the approved opus/tool repeat-1 correct grade (borderline). Quote: ""Its 12.6% revenue growth is therefore inorganic and should not be ranked alongside the other four carriers' organic growth.""",low,low confidence,judge:google/gemini-3.8-flash; reviewed:claude,yes
opus,tool,AIR-XENT-02,2,airline_cross_entity,correct,cites_relevant_note,effective,,"[reviewed by Claude, not a human; confirm] Both rankings match key exactly; answers no. Quote: ""**Revenue growth ranking:** 1) Alaska +12.56% · 2) United +6.23% · 3) Delta +6.19%""",low,low confidence,judge:google/gemini-3.8-flash; reviewed:claude,yes
opus,tool,MULTI-BREAK-03,3,multi_sector_comparability_break,correct,cites_relevant_note,effective,,"[reviewed by Claude, not a human; confirm] Recast FY2023 basis tied to Solventum note; -0.1% (-$35M). Quote: ""Approximately flat — a decline of about 0.1% (–$35 million, from $24,610M to $24,575M)""",low,low confidence,judge:google/gemini-3.8-flash; reviewed:claude,yes
